Number,one_hot_Company_Acer,one_hot_Company_Apple,one_hot_Company_Asus,one_hot_Company_Chuwi,one_hot_Company_Dell,one_hot_Company_Fujitsu,one_hot_Company_Google,one_hot_Company_HP,one_hot_Company_Huawei,one_hot_Company_LG,one_hot_Company_Lenovo,one_hot_Company_MSI,one_hot_Company_Mediacom,one_hot_Company_Microsoft,one_hot_Company_Razer,one_hot_Company_Samsung,one_hot_Company_Toshiba,one_hot_Company_Vero,one_hot_Company_Xiaomi,one_hot_TypeName_2 in 1 Convertible,one_hot_TypeName_Gaming,one_hot_TypeName_Netbook,one_hot_TypeName_Notebook,one_hot_TypeName_Ultrabook,one_hot_TypeName_Workstation,Inches,Display,Touchscreen,ScreenArea,CpuModel,ClockSpeed,Ram,MemoryComponent1,MemoryComponent2,Gpu,one_hot_OpSys_Android,one_hot_OpSys_Chrome OS,one_hot_OpSys_Linux,one_hot_OpSys_Mac OS X,one_hot_OpSys_No OS,one_hot_OpSys_Windows 10,one_hot_OpSys_Windows 10 S,one_hot_OpSys_Windows 7,one_hot_OpSys_macOS,Weight,Price
346,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,1,0,1049088,10,1.6,2,4,0,2,0,0,0,0,0,1,0,0,0,1.44,14865.12
347,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.6,3,0,2073600,62,1.9,16,19,2,51,0,0,0,0,0,1,0,0,0,1.88,85672.1088
348,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.6,1,1,1049088,12,1.1,4,4,0,3,0,0,0,0,0,1,0,0,0,1.5,19980.0
349,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.6,3,0,2073600,45,1.6,8,11,0,38,0,0,0,0,0,1,0,0,0,1.9,35324.64
350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,10,1,8294400,67,2.8,16,19,0,54,0,0,0,0,0,1,0,0,0,2.06,108020.9376
351,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,55,2.7,8,17,0,45,0,0,0,0,0,1,0,0,0,1.84,69477.12
352,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17.3,3,0,2073600,67,2.8,8,14,5,71,0,0,0,0,0,1,0,0,0,2.7,75071.52
353,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.6,3,0,2073600,67,2.8,8,17,0,79,0,0,0,0,0,1,0,0,0,2.6,92615.0256
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15.6,5,0,2073600,59,2.5,16,19,0,56,0,0,0,0,0,1,0,0,0,2.4,74751.84
355,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,52,1.8,8,14,4,38,0,0,0,0,0,1,0,0,0,2.02,51729.55199999999
356,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,12,1.1,4,11,0,3,0,0,0,0,1,0,0,0,0,2.2,17155.627200000003
357,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,3,0,2073600,49,2.5,8,11,0,54,0,0,0,0,0,1,0,0,0,2.65,53226.72
358,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,1,1049088,43,2.5,8,10,0,45,0,0,0,0,0,1,0,0,0,2.36,29696.6736
359,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,3,0,2073600,53,2.6,8,17,0,45,0,0,0,0,0,1,0,0,0,1.36,76030.56
360,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,27,2.0,4,9,0,34,0,0,0,0,0,1,0,0,0,1.86,23389.92
361,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,3,0,2073600,43,2.5,8,17,0,45,0,0,0,0,0,1,0,0,0,2.0,50349.6
362,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.3,1,0,1440000,43,2.5,6,14,5,23,0,0,0,0,0,1,0,0,0,2.8,38308.32
363,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,43,2.5,8,11,0,45,0,0,0,0,0,1,0,0,0,1.86,34045.92
364,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,27,2.0,8,17,0,24,0,0,0,0,1,0,0,0,0,2.2,26586.72
365,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,21,1.6,8,10,0,9,0,0,0,0,0,1,0,0,0,2.04,20725.92
366,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.3,3,0,2073600,45,1.6,8,14,5,38,0,0,0,0,0,1,0,0,0,2.8,57808.8
